"sex","age_cat","mean","lower","upper","parasite"
"M","[0,2)",0.154,0.014,0.559,"Ascaris"
"M","[2,5)",0.226,0.025,0.697,"Ascaris"
"M","[5,12)",0.265,0.033,0.747,"Ascaris"
"M","[12,20)",0.259,0.032,0.734,"Ascaris"
"M","[20,50)",0.172,0.017,0.608,"Ascaris"
"M","[50,Inf)",0.187,0.018,0.629,"Ascaris"
"F","[0,2)",0.135,0.012,0.516,"Ascaris"
"F","[2,5)",0.197,0.021,0.646,"Ascaris"
"F","[5,12)",0.244,0.028,0.723,"Ascaris"
"F","[12,20)",0.284,0.036,0.763,"Ascaris"
"F","[20,50)",0.217,0.025,0.682,"Ascaris"
"F","[50,Inf)",0.213,0.022,0.674,"Ascaris"
"M","[0,2)",0.02,0,0.178,"Hookworm"
"M","[2,5)",0.031,0,0.275,"Hookworm"
"M","[5,12)",0.033,0,0.296,"Hookworm"
"M","[12,20)",0.033,0,0.293,"Hookworm"
"M","[20,50)",0.038,0,0.357,"Hookworm"
"M","[50,Inf)",0.033,0,0.303,"Hookworm"
"F","[0,2)",0.01,0,0.075,"Hookworm"
"F","[2,5)",0.024,0,0.216,"Hookworm"
"F","[5,12)",0.026,0,0.231,"Hookworm"
"F","[12,20)",0.029,0,0.267,"Hookworm"
"F","[20,50)",0.022,0,0.207,"Hookworm"
"F","[50,Inf)",0.018,0,0.153,"Hookworm"
"M","[0,2)",0.085,0.002,0.514,"Trichuris"
"M","[2,5)",0.152,0.004,0.719,"Trichuris"
"M","[5,12)",0.213,0.007,0.81,"Trichuris"
"M","[12,20)",0.204,0.006,0.811,"Trichuris"
"M","[20,50)",0.112,0.002,0.618,"Trichuris"
"M","[50,Inf)",0.131,0.003,0.673,"Trichuris"
"F","[0,2)",0.06,0.001,0.402,"Trichuris"
"F","[2,5)",0.142,0.003,0.7,"Trichuris"
"F","[5,12)",0.216,0.007,0.821,"Trichuris"
"F","[12,20)",0.208,0.007,0.809,"Trichuris"
"F","[20,50)",0.155,0.004,0.72,"Trichuris"
"F","[50,Inf)",0.165,0.004,0.743,"Trichuris"
"M","[0,2)",0,0,0,"Strongyloides"
"M","[2,5)",0.01,0.001,0.031,"Strongyloides"
"M","[5,12)",0.004,0,0.012,"Strongyloides"
"M","[12,20)",0.005,0,0.016,"Strongyloides"
"M","[20,50)",0.004,0,0.012,"Strongyloides"
"M","[50,Inf)",0.007,0,0.029,"Strongyloides"
"F","[0,2)",0.003,0,0.013,"Strongyloides"
"F","[2,5)",0.006,0.001,0.019,"Strongyloides"
"F","[5,12)",0.002,0,0.007,"Strongyloides"
"F","[12,20)",0.003,0,0.01,"Strongyloides"
"F","[20,50)",0.005,0.001,0.014,"Strongyloides"
"F","[50,Inf)",0,0,0,"Strongyloides"
"M","[0,2)",0,0,0,"H. nana"
"M","[2,5)",0.074,0.005,0.416,"H. nana"
"M","[5,12)",0.069,0.005,0.39,"H. nana"
"M","[12,20)",0.043,0.002,0.261,"H. nana"
"M","[20,50)",0.03,0.002,0.175,"H. nana"
"M","[50,Inf)",0.053,0.002,0.323,"H. nana"
"F","[0,2)",0.048,0.002,0.296,"H. nana"
"F","[2,5)",0.037,0.002,0.23,"H. nana"
"F","[5,12)",0.072,0.005,0.397,"H. nana"
"F","[12,20)",0.033,0.002,0.194,"H. nana"
"F","[20,50)",0.034,0.002,0.206,"H. nana"
"F","[50,Inf)",0.018,0,0.127,"H. nana"
"M","[0,2)",0.005,0,0.02,"S. mansoni"
"M","[2,5)",0.003,0,0.01,"S. mansoni"
"M","[5,12)",0.005,0,0.017,"S. mansoni"
"M","[12,20)",0.004,0,0.012,"S. mansoni"
"M","[20,50)",0.007,0,0.025,"S. mansoni"
"M","[50,Inf)",0.007,0,0.031,"S. mansoni"
"F","[0,2)",0.002,0,0.007,"S. mansoni"
"F","[2,5)",0.005,0,0.018,"S. mansoni"
"F","[5,12)",0.006,0,0.026,"S. mansoni"
"F","[12,20)",0.004,0,0.013,"S. mansoni"
"F","[20,50)",0.008,0,0.032,"S. mansoni"
"F","[50,Inf)",0,0,0,"S. mansoni"
"M","[0,2)",0.448,0.02,0.96,"Helms"
"M","[2,5)",0.573,0.041,0.981,"Helms"
"M","[5,12)",0.529,0.033,0.976,"Helms"
"M","[12,20)",0.568,0.036,0.982,"Helms"
"M","[20,50)",0.541,0.034,0.976,"Helms"
"M","[50,Inf)",0.551,0.032,0.981,"Helms"
"F","[0,2)",0.587,0.039,0.983,"Helms"
"F","[2,5)",0.493,0.023,0.97,"Helms"
"F","[5,12)",0.476,0.023,0.965,"Helms"
"F","[12,20)",0.605,0.049,0.985,"Helms"
"F","[20,50)",0.538,0.034,0.976,"Helms"
"F","[50,Inf)",0.578,0.036,0.981,"Helms"
"M","[0,2)",0.491,0.003,1,"E. coli"
"M","[2,5)",0.564,0.007,1,"E. coli"
"M","[5,12)",0.387,0.001,1,"E. coli"
"M","[12,20)",0.346,0,1,"E. coli"
"M","[20,50)",0.445,0.002,1,"E. coli"
"M","[50,Inf)",0.384,0,1,"E. coli"
"F","[0,2)",0.546,0.005,1,"E. coli"
"F","[2,5)",0.004,0,0.015,"E. coli"
"F","[5,12)",0.482,0.004,1,"E. coli"
"F","[12,20)",0.413,0.001,1,"E. coli"
"F","[20,50)",0.47,0.003,1,"E. coli"
"F","[50,Inf)",0.556,0.006,1,"E. coli"
